"type","country","total_amount","year"
"05章 其他动物产品","菲律宾",1303400,"2024"
"05章 其他动物产品","沙特阿拉伯",113400,"2024"
"05章 其他动物产品","新加坡",193200,"2024"
"05章 其他动物产品","韩国",24217200,"2024"
"05章 其他动物产品","泰国",49336000,"2024"
"05章 其他动物产品","土耳其",2401000,"2024"
"05章 其他动物产品","阿拉伯联合酋长国",345800,"2024"
"05章 其他动物产品","越南",230545000,"2024"
"05章 其他动物产品","中国台湾",27129200,"2024"
"05章 其他动物产品","哈萨克斯坦",42000,"2024"
"05章 其他动物产品","南非",71814400,"2024"
"05章 其他动物产品","欧洲联盟",480342800,"2024"
"05章 其他动物产品","比利时",15666000,"2024"
"05章 其他动物产品","丹麦",5412400,"2024"
"05章 其他动物产品","英国",25372200,"2024"
"05章 其他动物产品","德国",221673200,"2024"
"05章 其他动物产品","法国",11218200,"2024"
"05章 其他动物产品","意大利",36968400,"2024"
"05章 其他动物产品","荷兰",74848200,"2024"
"05章 其他动物产品","西班牙",37219000,"2024"
"05章 其他动物产品","奥地利",12997009.62,"2024"
"05章 其他动物产品","芬兰",8400,"2024"
"05章 其他动物产品","瑞典",75600,"2024"
"05章 其他动物产品","罗马尼亚",13403600,"2024"
"05章 其他动物产品","瑞士",2938600,"2024"
"05章 其他动物产品","俄罗斯",935200,"2024"
"05章 其他动物产品","乌克兰",5423600,"2024"
"05章 其他动物产品","阿根廷",274400,"2024"
"05章 其他动物产品","巴西",51429000,"2024"
"05章 其他动物产品","智 利",128800,"2024"
"05章 其他动物产品","加拿大",11271400,"2024"
"05章 其他动物产品","美国",185614800,"2024"
"05章 其他动物产品","澳大利亚",1351000,"2024"
"05章 其他动物产品","新西兰",75600,"2024"
"第2类 植物产品","缅甸",64003800,"2024"
"第2类 植物产品","中国香港",2416631000,"2024"
"第2类 植物产品","印度",195059200,"2024"
"第2类 植物产品","印度尼西亚",1128673000,"2024"
"第2类 植物产品","伊朗",160581400,"2024"
"第2类 植物产品","日本",2118842600,"2024"
"第2类 植物产品","中国澳门",39139800,"2024"
"第2类 植物产品","马来西亚",1246399000,"2024"
"第2类 植物产品","阿曼",21784716.8,"2024"
"第2类 植物产品","巴基斯坦",181444200,"2024"
"第2类 植物产品","菲律宾",518970200,"2024"
"第2类 植物产品","沙特阿拉伯",179523400,"2024"
"第2类 植物产品","新加坡",257628000,"2024"
"第2类 植物产品","韩国",1157044000,"2024"
"第2类 植物产品","泰国",1326411800,"2024"
"第2类 植物产品","土耳其",178648400,"2024"
"第2类 植物产品","阿拉伯联合酋长国",460992000,"2024"
"第2类 植物产品","越南",2810771600,"2024"
"第2类 植物产品","中国台湾",316831200,"2024"
"第2类 植物产品","哈萨克斯坦",60804800,"2024"
"第2类 植物产品","南非",52985800,"2024"
"第2类 植物产品","欧洲联盟",2426764200,"2024"
"第2类 植物产品","比利时",110069400,"2024"
"第2类 植物产品","丹麦",29358000,"2024"
"第2类 植物产品","英国",272438600,"2024"
"第2类 植物产品","德国",457507400,"2024"
"第2类 植物产品","法国",136199000,"2024"
"第2类 植物产品","意大利",218484000,"2024"
"第2类 植物产品","荷兰",689298400,"2024"
"第2类 植物产品","西班牙",455446600,"2024"
"第2类 植物产品","奥地利",1350819.4,"2024"
"第2类 植物产品","芬兰",1965173.7,"2024"
"第2类 植物产品","瑞典",16625000,"2024"
"第2类 植物产品","罗马尼亚",27586297.06,"2024"
"第2类 植物产品","瑞士",9686783.82,"2024"
"第2类 植物产品","俄罗斯",876582000,"2024"
"第2类 植物产品","乌克兰",23763600,"2024"
"第2类 植物产品","阿根廷",17796800,"2024"
"第2类 植物产品","巴西",167806800,"2024"
"第2类 植物产品","智 利",75747000,"2024"
"第2类 植物产品","加拿大",313930400,"2024"
"第2类 植物产品","美国",1656060000,"2024"
"第2类 植物产品","澳大利亚",239362200,"2024"
"第2类 植物产品","新西兰",49274400,"2024"
"06章 活植物；茎、根；插花、簇叶","缅甸",250600,"2024"
"06章 活植物；茎、根；插花、簇叶","中国香港",16009000,"2024"
"06章 活植物；茎、根；插花、簇叶","印度",11320400,"2024"
"06章 活植物；茎、根；插花、簇叶","印度尼西亚",1570800,"2024"
"06章 活植物；茎、根；插花、簇叶","伊朗",155400,"2024"
"06章 活植物；茎、根；插花、簇叶","日本",82689600,"2024"
"06章 活植物；茎、根；插花、簇叶","中国澳门",4904200,"2024"
"06章 活植物；茎、根；插花、簇叶","马来西亚",7351400,"2024"
"06章 活植物；茎、根；插花、簇叶","阿曼",149800,"2024"
"06章 活植物；茎、根；插花、簇叶","巴基斯坦",1400,"2024"
"06章 活植物；茎、根；插花、簇叶","菲律宾",8419600,"2024"
"06章 活植物；茎、根；插花、簇叶","沙特阿拉伯",3931200,"2024"
"06章 活植物；茎、根；插花、簇叶","新加坡",15232000,"2024"
"06章 活植物；茎、根；插花、簇叶","韩国",57927800,"2024"
"06章 活植物；茎、根；插花、簇叶","泰国",20318200,"2024"
